"compute_time","Datasets","modality","compute time(hrs)"
1335,"NKI","perf",0.370833333333333
2313,"NKI","perf",0.6425
279,"NKI","perf",0.0775
2666,"NKI","perf",0.740555555555556
319,"NKI","perf",0.0886111111111111
1428,"NKI","perf",0.396666666666667
3618,"NKI","perf",1.005
317,"NKI","perf",0.0880555555555556
327,"NKI","perf",0.0908333333333333
1554,"NKI","perf",0.431666666666667
1547,"NKI","perf",0.429722222222222
2630,"NKI","perf",0.730555555555556
882,"NKI","perf",0.245
319,"NKI","perf",0.0886111111111111
1590,"NKI","perf",0.441666666666667
1541,"NKI","perf",0.428055555555556
2653,"NKI","perf",0.736944444444444
328,"NKI","perf",0.0911111111111111
324,"NKI","perf",0.09
2449,"NKI","perf",0.680277777777778
1363,"NKI","perf",0.378611111111111
2147,"NKI","perf",0.596388888888889
337,"NKI","perf",0.0936111111111111
307,"NKI","perf",0.0852777777777778
2380,"NKI","perf",0.661111111111111
2374,"NKI","perf",0.659444444444444
3223,"NKI","perf",0.895277777777778
798,"NKI","perf",0.221666666666667
300,"NKI","perf",0.0833333333333333
1576,"NKI","perf",0.437777777777778
1515,"NKI","perf",0.420833333333333
3236,"NKI","perf",0.898888888888889
343,"NKI","perf",0.0952777777777778
317,"NKI","perf",0.0880555555555556
2716,"NKI","perf",0.754444444444444
2662,"NKI","perf",0.739444444444444
2638,"NKI","perf",0.732777777777778
342,"NKI","perf",0.095
796,"NKI","perf",0.221111111111111
3203,"NKI","perf",0.889722222222222
1569,"NKI","perf",0.435833333333333
1507,"NKI","perf",0.418611111111111
348,"NKI","perf",0.0966666666666667
346,"NKI","perf",0.0961111111111111
2036,"NKI","perf",0.565555555555556
313,"NKI","perf",0.0869444444444444
1535,"NKI","perf",0.426388888888889
348,"NKI","perf",0.0966666666666667
320,"NKI","perf",0.0888888888888889
2750,"NKI","perf",0.763888888888889
1430,"NKI","perf",0.397222222222222
338,"NKI","perf",0.0938888888888889
316,"NKI","perf",0.0877777777777778
329,"NKI","perf",0.0913888888888889
2638,"NKI","perf",0.732777777777778
1341,"NKI","perf",0.3725
3687,"NKI","perf",1.02416666666667
349,"NKI","perf",0.0969444444444444
2317,"NKI","perf",0.643611111111111
1471,"NKI","perf",0.408611111111111
364,"NKI","perf",0.101111111111111
1746,"NKI","perf",0.485
883,"NKI","perf",0.245277777777778
2282,"NKI","perf",0.633888888888889
356,"NKI","perf",0.0988888888888889
3824,"NKI","perf",1.06222222222222
1626,"NKI","perf",0.451666666666667
312,"NKI","perf",0.0866666666666667
333,"NKI","perf",0.0925
2599,"NKI","perf",0.721944444444444
3216,"NKI","perf",0.893333333333333
2532,"NKI","perf",0.703333333333333
336,"NKI","perf",0.0933333333333333
1963,"NKI","perf",0.545277777777778
3611,"NKI","perf",1.00305555555556
3747,"NKI","perf",1.04083333333333
2379,"NKI","perf",0.660833333333333
326,"NKI","perf",0.0905555555555556
936,"NKI","perf",0.26
1525,"NKI","perf",0.423611111111111
1680,"NKI","perf",0.466666666666667
1532,"NKI","perf",0.425555555555556
2129,"NKI","perf",0.591388888888889
336,"NKI","perf",0.0933333333333333
902,"NKI","perf",0.250555555555556
3646,"NKI","perf",1.01277777777778
1142,"NKI","perf",0.317222222222222
345,"NKI","perf",0.0958333333333333
346,"NKI","perf",0.0961111111111111
1995,"NKI","perf",0.554166666666667
346,"NKI","perf",0.0961111111111111
313,"NKI","perf",0.0869444444444444
324,"NKI","perf",0.09
334,"NKI","perf",0.0927777777777778
2386,"NKI","perf",0.662777777777778
3708,"NKI","perf",1.03
2727,"NKI","perf",0.7575
300,"NKI","perf",0.0833333333333333
359,"NKI","perf",0.0997222222222222
1756,"NKI","perf",0.487777777777778
857,"NKI","perf",0.238055555555556
1384,"NKI","perf",0.384444444444444
316,"NKI","perf",0.0877777777777778
318,"NKI","perf",0.0883333333333333
3384,"NKI","perf",0.94
1540,"NKI","perf",0.427777777777778
2364,"NKI","perf",0.656666666666667
315,"NKI","perf",0.0875
975,"NKI","perf",0.270833333333333
2722,"NKI","perf",0.756111111111111
3899,"NKI","perf",1.08305555555556
2278,"NKI","perf",0.632777777777778
269,"NKI","perf",0.0747222222222222
339,"NKI","perf",0.0941666666666667
1508,"NKI","perf",0.418888888888889
316,"NKI","perf",0.0877777777777778
2327,"NKI","perf",0.646388888888889
323,"NKI","perf",0.0897222222222222
322,"NKI","perf",0.0894444444444444
1923,"NKI","perf",0.534166666666667
347,"NKI","perf",0.0963888888888889
1189,"NKI","perf",0.330277777777778
2007,"NKI","perf",0.5575
327,"NKI","perf",0.0908333333333333
1448,"NKI","perf",0.402222222222222
1711,"NKI","perf",0.475277777777778
2313,"NKI","perf",0.6425
322,"NKI","perf",0.0894444444444444
322,"NKI","perf",0.0894444444444444
2197,"NKI","perf",0.610277777777778
2504,"NKI","perf",0.695555555555556
1156,"NKI","perf",0.321111111111111
331,"NKI","perf",0.0919444444444444
340,"NKI","perf",0.0944444444444444
1945,"NKI","perf",0.540277777777778
1674,"NKI","perf",0.465
1200,"NKI","perf",0.333333333333333
